seed	modeltype	epochs	datasetindex	nsites	true_pos	true_neg	false_pos	false_neg	distance
11	mice	0	12	5	443	54	446	57	10
3	mice	0	13	5	0	500	0	500	0
3	mice	0	13	5	20	487	13	480	2
3	mice	0	13	5	101	416	84	399	3
3	mice	0	13	5	158	348	152	342	5
3	mice	0	13	5	193	307	193	307	6
3	mice	0	13	5	208	295	205	292	8
3	mice	0	13	5	225	273	227	275	10
6	mice	0	14	5	0	500	0	500	0
6	mice	0	14	5	15	479	21	485	2
6	mice	0	14	5	111	380	120	389	3
6	mice	0	14	5	148	340	160	352	5
6	mice	0	14	5	228	261	239	272	6
6	mice	0	14	5	289	204	296	211	8
6	mice	0	14	5	354	147	353	146	10
15	mice	0	15	5	0	500	0	500	0
15	mice	0	15	5	0	500	0	500	2
15	mice	0	15	5	0	500	0	500	3
15	mice	0	15	5	0	500	0	500	5
15	mice	0	15	5	0	500	0	500	6
15	mice	0	15	5	1	500	0	499	8
15	mice	0	15	5	195	281	219	305	10
6	mice	0	16	5	0	500	0	500	0
6	mice	0	16	5	0	500	0	500	2
6	mice	0	16	5	5	495	5	495	3
6	mice	0	16	5	52	431	69	448	5
6	mice	0	16	5	111	376	124	389	6
6	mice	0	16	5	189	292	208	311	8
6	mice	0	16	5	237	249	251	263	10
5	mice	0	17	5	0	500	0	500	0
5	mice	0	17	5	76	426	74	424	2
5	mice	0	17	5	83	413	87	417	3
5	mice	0	17	5	85	409	91	415	5
5	mice	0	17	5	93	405	95	407	6
5	mice	0	17	5	416	73	427	84	8
5	mice	0	17	5	489	10	490	11	10
10	mice	0	18	5	148	357	143	352	0
10	mice	0	18	5	228	269	231	272	2
10	mice	0	18	5	239	255	245	261	3
10	mice	0	18	5	292	201	299	208	5
10	mice	0	18	5	298	184	316	202	6
10	mice	0	18	5	310	172	328	190	8
10	mice	0	18	5	329	165	335	171	10
6	mice	0	19	5	359	165	335	141	0
6	mice	0	19	5	493	5	495	7	2
6	mice	0	19	5	498	2	498	2	3
6	mice	0	19	5	499	2	498	1	5
6	mice	0	19	5	499	0	500	1	6
6	mice	0	19	5	499	0	500	1	8
6	mice	0	19	5	500	0	500	0	10
11	mice	0	20	5	109	388	112	391	0
11	mice	0	20	5	370	135	365	130	2
11	mice	0	20	5	388	113	387	112	3
11	mice	0	20	5	457	57	443	43	5
11	mice	0	20	5	492	12	488	8	6
11	mice	0	20	5	499	1	499	1	8
11	mice	0	20	5	499	1	499	1	10
6	mice	0	21	5	0	500	0	500	0
6	mice	0	21	5	0	500	0	500	2
6	mice	0	21	5	3	499	1	497	3
6	mice	0	21	5	76	437	63	424	5
6	mice	0	21	5	163	348	152	337	6
6	mice	0	21	5	334	169	331	166	8
6	mice	0	21	5	479	13	487	21	10
6	mice	0	22	5	155	320	180	345	0
6	mice	0	22	5	369	121	379	131	2
6	mice	0	22	5	377	113	387	123	3
6	mice	0	22	5	378	113	387	122	5
6	mice	0	22	5	378	113	387	122	6
6	mice	0	22	5	380	111	389	120	8
6	mice	0	22	5	420	70	430	80	10
5	mice	0	23	5	0	500	0	500	0
5	mice	0	23	5	55	455	45	445	2
5	mice	0	23	5	66	448	52	434	3
5	mice	0	23	5	257	262	238	243	5
5	mice	0	23	5	257	260	240	243	6
5	mice	0	23	5	437	65	435	63	8
5	mice	0	23	5	455	42	458	45	10
14	mice	0	24	5	62	437	63	438	0
14	mice	0	24	5	82	422	78	418	2
14	mice	0	24	5	83	420	80	417	3
14	mice	0	24	5	85	418	82	415	5
14	mice	0	24	5	99	409	91	401	6
14	mice	0	24	5	126	401	99	374	8
14	mice	0	24	5	272	251	249	228	10
13	mice	0	25	5	0	500	0	500	0
13	mice	0	25	5	0	500	0	500	2
13	mice	0	25	5	0	500	0	500	3
13	mice	0	25	5	3	500	0	497	5
13	mice	0	25	5	13	493	7	487	6
13	mice	0	25	5	81	444	56	419	8
13	mice	0	25	5	156	362	138	344	10
7	mice	0	26	5	0	500	0	500	0
7	mice	0	26	5	0	500	0	500	2
7	mice	0	26	5	0	500	0	500	3
7	mice	0	26	5	4	491	9	496	5
7	mice	0	26	5	32	457	43	468	6
7	mice	0	26	5	122	364	136	378	8
7	mice	0	26	5	180	304	196	320	10
7	mice	0	27	5	0	500	0	500	0
7	mice	0	27	5	1	500	0	499	2
7	mice	0	27	5	2	499	1	498	3
7	mice	0	27	5	39	457	43	461	5
7	mice	0	27	5	64	434	66	436	6
7	mice	0	27	5	82	411	89	418	8
7	mice	0	27	5	114	367	133	386	10
5	mice	0	28	5	31	478	22	469	0
5	mice	0	28	5	103	409	91	397	2
5	mice	0	28	5	106	403	97	394	3
5	mice	0	28	5	432	76	424	68	5
5	mice	0	28	5	465	40	460	35	6
5	mice	0	28	5	469	34	466	31	8
5	mice	0	28	5	477	19	481	23	10
14	mice	0	29	5	0	500	0	500	0
14	mice	0	29	5	124	381	119	376	2
14	mice	0	29	5	132	373	127	368	3
14	mice	0	29	5	138	369	131	362	5
14	mice	0	29	5	195	328	172	305	6
14	mice	0	29	5	296	204	296	204	8
14	mice	0	29	5	390	105	395	110	10
14	mice	0	30	5	0	500	0	500	0
14	mice	0	30	5	2	499	1	498	2
14	mice	0	30	5	11	490	10	489	3
14	mice	0	30	5	109	399	101	391	5
14	mice	0	30	5	124	393	107	376	6
14	mice	0	30	5	174	363	137	326	8
14	mice	0	30	5	234	306	194	266	10
12	mice	0	1	20	0	500	0	500	0
12	mice	0	1	20	72	424	76	428	2
12	mice	0	1	20	196	306	194	304	3
12	mice	0	1	20	378	138	362	122	5
12	mice	0	1	20	420	94	406	80	6
12	mice	0	1	20	466	40	460	34	8
12	mice	0	1	20	471	37	463	29	10
5	mice	0	2	20	70	410	90	430	0
5	mice	0	2	20	351	146	354	149	2
5	mice	0	2	20	351	144	356	149	3
5	mice	0	2	20	358	140	360	142	5
5	mice	0	2	20	364	137	363	136	6
5	mice	0	2	20	444	64	436	56	8
5	mice	0	2	20	486	12	488	14	10
2	mice	0	3	20	9	494	6	491	0
2	mice	0	3	20	211	284	216	289	2
2	mice	0	3	20	308	196	304	192	3
2	mice	0	3	20	374	131	369	126	5
2	mice	0	3	20	397	104	396	103	6
2	mice	0	3	20	458	28	472	42	8
2	mice	0	3	20	490	8	492	10	10
